,Location_of_Death
"5 nautical miles west of Alboran Island, between Spain and Morocco",1
Unspecified location in Sudan,1
"Dos Haches Quail Hunting Camp, Brooks County, Texas",1
"Off the coast of Tijuana, Mexico, near border with the United States",1
"Unspecified location off the coast of Calabria, Italy",1
"Isleta del Moro, Cabo de Gata, AlmerÃ­a, Spain",1
"Near Playa de los Muertos, Cabo de Gata, AlmerÃ­a, Spain",1
"Near Sabratha, west of Tripoli, Libya",1
"RÃ­o Bravo, Colonia Presidentes, Piedras Negras, Coahuila, Mexico",1
"All American Canal, Calexico, Imperial County, California",1
"Bodies retrieved in Garabulli, Libya",1
"Bodies found off the coast of AguadÃº, Melilla, Spain",1
"Body retrieved in Sabratha, Libya",1
"RÃ­o Bravo, Ciudad AcuÃ±a, Coahuila, Mexico",1
"Syrian/Turkish border, near Hassaniya Hattiya, Idlib province",1
"Bodies retrieved in Janzour, west of Tripoli, Libya",1
"Bodies retrieved in Az Zawiyah, east of Tripoli, Libya",1
"Found dead in Sebha, Libya",1
"70 miles southeast of Cartagena, Murcia, Spain",1
"Bodies retrieved in Al Mutred area, west of Az Zawiyah, Libya",1
"Off the coast of Zuwarah, Libya",1
"Bodies retrieved in Sabratha, Libya",1
"Bodies retrieved north west of Az Zawiyah, Libya",1
"Remote canyon road in San Juan Capistrano, Orange County, California",1
"20 miles north of Zuwara, Libya",1
"Body retrieved in Playa Castillejos, Fnideq, Morocco, near the border with Ceuta, Spain",1
"Body found in Faith Ranch, near El Indio, Maverick County, Texas",1
"Jones Ranch, near Falfurrias, Brooks County, Texas / USBP Rio Grande Valley Sector",1
"HÃ©ctor LÃ³pez Ranch, near Falfurrias, Brooks County, Texas / USBP Rio Grande Valley Sector",1
"Bodies recovered near Garabulli, Libya",1
"In minibus on highway near Pazardjik, Bulgaria, near border with Greece and TÃ¼rkiye",1
"Bodies washed up to Houmt Souk Jerba, Tunisia",1
"Bodies washed up to Zarzis, Tunisia",1
"Off the coast of Domoni, Anjouan, Comoros - en route to Mayotte (France)",1
"Near Tobruk, Libya",1
"Urmia, West Azerbaijan province, Iran",1
42 nautical miles from Libya,1
"Body washed up on Farwa Island, Libya",1
"RÃ­o Bravo, near Rancho San Ricardo, Nuevo Laredo, Tamaulipas, Mexico",1
"Desert outside Arlit, Niger",1
"Unspecified location off Subratah, Libya",1
Unspecified location near Libya,1
"RÃ­o Bravo, between Reynosa and DÃ­az Ordaz, Tamaulipas, Mexico",1
"Unspecified location off AzZawiyah, Libya",1
"Rio Bravo, Parque Viveros, Nuevo Laredo, Tamaulipas, Mexico",1
"Body washed up in Sabratha, Libya",1
"Train station in Dialogi, Greece",1
"Body washed up in Tripoli, Libya",1
"Bodies washed up in Az Zawiyah, Libya",1
"Bodies washed up in Tripoli, Libya",1
Unspecified location on Syrian-Turkish border,1
"Northwest of Tripoli, Libya",1
"Rio Bravo, near Rancho Grande, Nuevo Laredo, Tamaulipas, Mexico",1
"La India Ranch, Falfurrias, Brooks County, Texas",1
"Dos Haches Ranch, Brooks County, Texas",1
"Body recovered near Surman, Libya",1
Unspecified location near the coast of Tunisia between Libya and Italy,1
"12 nautical miles off Sayad, west of Tripoli, Libya",1
"On the road between Sebha and Ashshwayrif, Libya",1
"Dao, Niger, near the border with Libya",1
"Sahara desert, Egypt",1
"Body retrieved in Tajoura, east of Tripoli, Libya",1
"Train tracks between Blvrd. LÃ¡zaro CÃ¡rdenas and Adolfo LÃ³pez Mateos, Mexicali, Baja California, Mexico",1
"Dosso, Niger",1
"Body found near Sabratha, Libya",1
"RÃ­o Bravo, Blvrd. Luis Donaldo Colosio, Nuevo Laredo, Tamaulipas, Mexico",1
"Gare du Nord, Brussels, Belgium - bus destination Calais, France",1
"RÃ­o Bravo, 200 meters from 'la Cruz del Inmigrante', Reynosa, Tamaulipas, Mexico",1
"Ash Shamaliyah, Sudan, near the border with Egypt",1
"Bodies found in dinghy 15 miles north of Sabratha, Libya",1
"Bodies recovered in Tripoli, Libya",1
"Gossi, Mali",1
"Off the coast of ÃeÅme, Ä°zmir, TÃ¼rkiye",1
"Syrian/Turkish border, near Harem, Idlib province",1
"10 miles south of Isla de las Palomas, Tarifa, Spain",1
Bodies found in dinghy off the coast of Libya,1
"RÃ­o Bravo, near El Patinadero, Nuevo Laredo, Tamaulipas, Mexico",1
"Syrian/Turkish border, Deir Ezzor province",1
"A16 motorway, near Guemps, Pas-de-Calais, France",1
"Bodies found in a dinghy in Milita, near Sabratha, Libya",1
"Benavides Ranch, Brooks County, Texas",1
"Syrian/Turkish border, near Al-Malikiya, Hasaka province",1
"RÃ­o Bravo, Rancho El Progreso, Nuevo Laredo, Tamaulipas, Mexico",1
"RÃ­o Bravo, Carretera Nacional km 14, Nuevo Laredo, Tamaulipas, Mexico",1
"Train tunnel, Peglia, Ventimiglia, Italy",1
"In the Sahara desert, Egypt, near the border with Sudan",1
"Off the coast of Anjouan, Comoros - en route to Mayotte (France)",1
"RÃ­o Bravo, Puente International Reynosa-Hidalgo, Tamaulipas, Mexico",1
"Body retrieved near MojÃ¡car, AlmerÃ­a, Spain",1
"Irrigation canal in Las Matas de Santa Cruz, Dominican Republic, near the Haiti/DR border",1
"Body recovered in Az Zawiyah, Libya",1
"Near Bentsen State Park, Mission, Hidalgo County, Texas",1
"Desert near SÃ©guÃ©dine, Niger",1
"Dos Palomas Ranch, near Falfurrias, Brooks County, Texas / USBP Rio Grande Valley Sector",1
"Body retrieved in Al Maya, Libya",1
"Rio Bravo, Puente Internacional, Ojinaga, Chihuahua, Mexico",1
"Cage Ranch, near Falfurrias, Brooks County, Texas / USBP Rio Grande Valley Sector",1
"Bodies recovered near Tajoura, Libya",1
On boat after being rescued off the coast of Libya,1
"RÃ­o Bravo, near CongregaciÃ³n Los RodrÃ­guez, Guerrero, Coahuila, Mexico",1
"RÃ­o Bravo, Eagle Pass, Maverick County, Texas",1
"Sahara desert, near Wad Madani, Sudan",1
"Body recovered in Punta Coco, HigÃ¼ey, La Altagracia, Dominican Republic",1
"Body retrieved in Playa de Calahonda, Mijas, MÃ¡laga, Spain",1
"Trad Ranch, Brooks County, Texas",1
In hospital in Lampedusa after being rescued off the coast of Libya,1
"Bodies washed up near Zarzis, Tunisia",1
"Ghat, Libya, near the border with Algeria",1
Italy - France border at Ventimiglia,1
"Buena Suerte Ranch, near Falfurrias, Brooks County, Texas / USBP Rio Grande Valley Sector",1
"Egypt-Libya border, Jaghboub desert, 400km south of Tobruk, Libya",1
"Syrian/Turkish border, near Ayn al-Bayda, Jisr Al-Shughur, Syria",1
"Body recovered in Al Maya, west of Tripoli, Libya",1
"33 miles southeast of MÃ¡laga, Spain",1
"Strada Statale 1 Aurelia, near Latte, Ventimiglia, Italy, close to the border with France",1
"Unspecified location off the coast of Mostaganem and Abdelmalek Ramdan, Algeria",1
"University Hospital Habib Bourguiba in Sfax, Tunisia, after being evacuated from Sos MÃ©diterranÃ©e's Aquarius ship,Unspecified location between North Africa and Italy",1
"Off the coast of Arzew, province of Oran, Algeria",1
"Off the coast of Bakau, Gambia",1
"RÃ­o Bravo, near Campo Cougars, Piedras Negras, Coahuila, Mexico",1
"River Uni, Bihac, Una-Sana Canton, Bosnia and Herzegovina",1
"Body found in remote desert region in Tohono O'odham nation, near Pima County, Arizona",1
"Bodies recovered in multiple locations in Libya (Tajoura, Garabulli, Suq al Juma)",1
"RÃ­o Bravo, near Ciudad Miguel AlemÃ¡n, Tamaulipas, Mexico",1
"Off the coast of Sapzurro, ChocÃ³, Colombia, near border with Panama",1
Unspecified location in the Alboran Sea,1
"Inside truck container near the Mellitah oil and gas complex, east of Zuwara, Libya",1
"Assamaka, Niger, near border with Algeria",1
"76 nautical miles off the coast of Al-Khums, Libya",1
80 nautical miles off the coast of Libya,1
"16 miles off the coast of Gialousa/Yeni ErenkÃ¶y, Northern Cyprus",1
"Bodies recovered from the Evros/MeriÃ§ river, near DidymÃ³teicho, Greece",1
"Bodies recovered in Tajoura and Garabulli, Libya",1
"Al Shoghayrat, Shabwa Governorate, Yemen,Bodies retrieved in Al Shoghayrat, Shabwa Governorate, Yemen",1
"Alexandroupolis-Ormenio train line, near Antheia, Alexandropoulis, Greece",1
"RÃ­o Bravo, near International Bridge I, Nuevo Laredo, Tamaulipas, Mexico",1
"Checkpoint in Al Baydan, Libya",1
"Between Ayvalik, TÃ¼rkiye and Lesvos, Greece",1
"Off the coast of Achakkar, Tangier, Morocco",1
"100km west of Al Jaghbub, Libya",1
"Road near Dobrinci, 45km northwest of Belgrade, Serbia",1
"Unspecified location on highway between Khash and Saravan, Iran",1
"Off the coast of Demre, Antalya Province, TÃ¼rkiye",1
"Off the coast of Cape Trafalgar, CÃ¡diz, Spain",1
"RÃ­o Bravo, near El Carrizo, Nuevo Laredo, Tamaulipas, Mexico",1
"Egnatia highway, near Alexandropoulis, Greece",1
Body found on the side of the road in an unspecified location in Slovenia,1
"A16 motorway, near Grande-Synthe, Nord-Pas de Calais, France",1
"Gibraltar Strait, 24 nautical miles south-west of Tarifa, Spain",1
"16 nautical miles off Kerkennah island, Sfax, Tunisia",1
"Bodies recovered in Tangiers, Morocco",1
"Off the coast of Kekova Geyikova island, near Demre district, Antalya province, TÃ¼rkiye",1
"Kolpa/Kupa river, near Gornje PriliÅ¡Äe, Croatia",1
"Tijuana beach, near US-Mexico border fence, Baja California, Mexico",1
"Body recovered near Plage Sidi Rihane, near Aokas, BÃ©jaÃ¯a - east of Algiers, Algeria",1
"Unspecified location in the Gulf of Aden, off the coast of Yemen",1
"Inside truck near Reynosa, Tamaulipas, Mexico",1
"Egnatia Odos highway, near Kavala, Greece",1
"RÃ­o Bravo, near Campo Las Ãguilas, Piedras Negras, Coahuila, Mexico",1
"RÃ­o Bravo, near Ãjido El Moral, Piedras Negras, Coahuila, Mexico",1
"Road between Radovish and Shtip, Â the former Yugoslav Republic of Macedonia",1
"Velika KladuÅ¡a, Una-Sana, Bosnia and Herzegovina, near border with Croatia",1
"Alboran Sea, 18 miles south of Cabo de Gata, AlmerÃ­a, Spain",1
On board a commercial ship after being rescued off the coast of Libya,1
"8 miles north of Melittah area, Tripoli, Libya",1
"North of Al Maya (west of Tripoli), Libya",1
"Bus in Berchem-Sainte-Agathe, Brussels, Belgium",1
"Off the coast of Al Hamidiyah, Tajura, Libya",1
Bodies retrieved at several locations on the Libyan coast,1
"Lungomare on the corner with Via Tacito, Ventimiglia, Liguria, Italy - near border with France",1
"RÃ­o Bravo, near Rancho El SinaÃ­, Reynosa, Tamaulipas, Mexico",1
"Bodies recovered in Al Maya (6) and Sayiad (2), Libya",1
"Off the coast of KuÅadasÄ±, AydÄ±n Province,TÃ¼rkiye",1
"Syria-TÃ¼rkiye border, Harem,Â Idlib Governorate, Syria",1
"Sahara desert, 382km north of Agadez, Niger",1
"DreÅ¾nica forest, west of DreÅ¾nica village (southwest of Ogulin), Croatia (WGS84 coordinates: 45.153628, 15.022501)",1
"Off the coast of Akkar province, Lebanon en route to Cyprus",1
"Kiskawa, Chad",1
"Off the coast of Bodrum, TÃ¼rkiye en route to Kos, Greece",1
"Port of Calais, Pas-de-Calais, France",1
"Body retrieved at Cabo Negro beach, near Tetouan, Morocco",1
"Off the coast of M'diq-Fnideq, Morocco",1
"Body recovered in Alboran Island, in Alboran Sea, between Morocco and Spain",1
"Al-Saqda, Bani Walid, Libya",1
"Off the coast of Enez, Edirne province, TÃ¼rkiye",1
"Off the coast of Beni Ensar, near Nador, Morocco",1
"Near Gossi, Mali",1
"Forest near Siva Reka, Bulgaria, near border with Greece",1
"Off the coast of Djerba, near Zarzis, Tunisia",1
"Off the coast of off the coast of Karaburun district, Izmir, TÃ¼rkiye",1
"Tazirbu, Kufra, Libya",1
"Bodies recovered near Evros/MeriÃ§ river,Â east of Didymoteicho, Greece",1
"70km off the coast of Cap Falcon,Â Ain El TÃ¼rck, province of Oran, Algeria",1
"Off the coast of Cap Falcon, Ain El TÃ¼rck, province of Oran, Algeria",1
"16 nautical miles off the coast ofÂ Marsat El Hadjadj, province of Oran, Algeria",1
"20km off the coast of Cap Falcon, Ain El TÃ¼rck, province of Oran, Algeria",1
"8 nautical miles off the coast of Stidia, province of Mostaganem, Algeria",1
"Kavala - Afrioni beach road, Sarakina, Greece",1
"RÃ­o Bravo, near International Bridge II JuÃ¡rez-Lincol, Nuevo Laredo, Tamaulipas, Mexico",1
"Sahara Desert, Sudan, near border with Libya",1
"Near Agadez, Niger",1
"Body recovered 1.5 miles off Punta Almina, Ceuta, Spain",1
"Body recovered in La RÃ¡bita Beach,Â AlbuÃ±ol, Granada, Spain",1
"15 nautical miles southwest of Alboran Island, Alboran Sea, Spain",1
"Syria-TÃ¼rkiye border, near Jisr al-Shugur, Idlib Governorate, Syria",1
"RÃ­o Bravo, near Club Cougars, Piedras Negras, Coahuila, Mexico",1
"Unspecified location off the coast ofÂ Jebiniana, near Sfax, Tunisia",1
"RÃ­o Bravo,Â near Ejido El Saucito, Piedras Negras, Coahuila, Mexico",1
"Off the coast of Ajim, Djerba, MÃ©denine Governorate, Tunisia",1
68nm south of Malta,1
"RÃ­o Bravo, near Colonia Claudette, Nuevo Laredo, Tamaulipas, Mexico",1
"Off the coast of Alboran Island, Spain",1
"Syria-TÃ¼rkiye border, near Salqin, Idlib Governorate, Syria",1
"Off the coast of Nashmia, district of Rudum, Shabwa Governorate, Yemen",1
"8 bodies recovered in Plage de Bider, Marsa Ben Mâhidi, and 1 body in Ghazaouet, Tlemcen, Algeria,Bodies recovered in Plage de SaÃ¯dia, Morocco, near Marsa Ben Mâhidi, Tlemcen, Algeria,Unspecified location in the Alboran Sea, between Morocco and Spain",1
"62 miles south of Alboran Island, Alboran Sea, between Morocco and Spain",1
"E40 highway, near Middelkerke, Belgium",1
"50 nautical miles south of Port of Motril, Granada, Spain",1
"Chad, near border with Niger",1
"Beach in Driouch province, near Nador, Morocco",1
"Body recovered on Las Salinas beach, Roquetas de Mar, AlmerÃ­a, Spain",1
"E40 highway, near Wetteren, Belgium",1
"Body recovered near La Almadraba, Ceuta, Spain",1
"Bodies recovered near Beni Ensar, Nador province, Morocco",1
"Mali, near border with Cote d'Ivoire",1
"RÃ­o Bravo,Â near Bvd. Luis Donaldo Colosio and Calle Hidalgo, Nuevo Laredo, Tamaulipas, Mexico",1
"Body recovered in Playa Castell de Ferro, Gualchos, Granada, Spain",1
"100KM from Jaghboub, Libya, near border with Egypt",1
"BaÄlar Bay, Bodrum, province of MuÄla, TÃ¼rkiye",1
"Evros/MeriÃ§ river, near Gemici, Edirne, TÃ¼rkiye",1
"RÃ­o Bravo, Ãjido el Porvenir, near International Bridge Reynosa-Hidalgo, Reynosa, Tamaulipas, Mexico",1
"Evros/MeriÃ§ River, near Kastanies, Greece",1
"Iran, near border with TÃ¼rkiye",1
"Plage de Madagh, AÃ¯n El Kerma, west of Oran, Algeria",1
"Body found 10 km off the coast of Chlef province, between Mostaganem and Benabdelmalek Ramadan, Algeria",1
"RÃ­o Bravo, island near Guerrero, Coahuila, Mexico",1
"8 nautical miles north of Plage Bouzedjar, Ain TÃ©mouchent, Algeria",1
"Awlad Sukr area, 12km east of Al Khums, Libya",1
"Off the coast of Brom Mayfa, Yemen ",1
"25 nautical miles north of BÃ©ni-Saf, Ain TÃ©mouchent, Algeria",1
"Tillaberi, Niger",1
"La Rumorosa mountain, Tecate, Baja California, Mexico",1
"Playa de Levante, La LÃ­nea de la ConcepciÃ³n, CÃ¡diz, Spain",1
"Tarifa, CÃ¡diz, Spain",1
"RÃ­o Bravo, near International Brigde 1, Piedras Negras, Coahuila, Mexico",1
"5 nautical miles northeast of Plage de Bouzedjar, Ain TÃ©mouchent, Algeria",1
"Sahara desert, Egypt, near border with Sudan",1
"Evros/MeriÃ§ River, Anthia Apalou beach, Alexandroupolis, Greece-TÃ¼rkiye border",1
"Sahara desert, between Ash Shamaliyah and Wadi Halfa, Sudan ",1
"Body retrieved in Sonora, Mexico",1
"RÃ­o Bravo, El Saucito, Coahuila, Mexico",1
"Delta of Evros/MeriÃ§ river, Greece - TÃ¼rkiye border",1
"Hospital in Modica, Sicily, after being rescued off the coast of Libya",1
Alboran Sea between Morocco and Spain,1
"Playa de la Madera, Tinajo, Lanzarote, Canary Islands",1
"Highway near Xanthi, Greece, near border with Bulgaria",1
"Unspecified location off the coast of Agathonisi, Greece",1
"Body found on the shore of Tripoli, Libya",1
"Body retrieved in Tripoli, Libya",1
"Body retrieved in AzZawiyah, Libya",1
"Plage des Andalouses, Bousfer, west of Oran, Algeria",1
"RÃ­o Bravo, near Hidalgo Bridge, Reynosa, Tamaulipas, Mexico",1
"Rabyanah Oasis, Libya",1
"E40 motorway, near Jabbeke, Belgium",1
"Farm near KneÅ¾evi Vinogradi, OsjeÄko-Baranjska, Croatia",1
Unspecified location on the US/Mexico border,1
"RÃ­o Bravo, near La Ensenada in Poblado Venecia, Gustavo DÃ­az Ordaz, Tamaulipas, Mexico",1
"RÃ­o Bravo, near Puente Internacional II JuÃ¡rez-Lincoln, Nuevo Laredo, Tamaulipas, Mexico",1
"RÃ­o Bravo, near Ejido LongoreÃ±o, Matamoros, Tamaulipas, Mexico",1
"Kolpa/Kupa river, near LadeÅ¡iÄi, municipality of NetretiÄ, Croatia",1
"Port of Mytilini, Lesvos, when trying to board a ferry bound for the Greek mainland",1
"Near Cabo Tres Forcas, 4 miles off the coast of Melilla, Spain",1
"Elkhalil, Mali",1
"Shore of Lake Albert, Democratic Republic of the Congo",1
"Plage Bouzedjar, Ain TÃ©mouchent, Algeria",1
"Off Kaf Lasfer beach, between Sidi Lakhdar and Hadjadj, 36 km east of Mostaganem, Algeria",1
27 miles southeast of Alboran Island in the Alboran Sea between Morocco and Spain,1
"Zeralda beach, near Algiers, Algeria",1
"RÃ­o Bravo, near Ejido El Faro, KM 17 of Carretera RibereÃ±a near Reynosa, Tamaulipas, Mexico",1
"Off Bahara beach, Ouled Boughalem, 90km east of Mostaganem, Algeria",1
Unspecified location in Lake Albert,1
"Near Port of Cabopino, MÃ¡laga, Spain",1
"RÃ­o Bravo, near San Miguel Nuevo, Gustavo DÃ­az Ordaz, Tamaulipas, Mexico",1
"Sidi Mejdoub beach, west of Mostaganem, Algeria",1
"Road between As Saddadah (60 km south-east of Bani Waleed) and Tarhuna, Libya",1
"Plage de Sassel (Ouled Boudjemaa) and Sbiat (Messaid), Ain TÃ©mouchent, Algeria",1
"Rio Bravo, La Playita, Reynosa, Tamaulipas, Mexico",1
"Bodies found in an abandoned building near Potamos, outside Alexandroupolis, Greece, near border with TÃ¼rkiye",1
Died after being rescued by a Guardia Costiera vessel off the coast of Libya,1
"Body found in Mexicali, Baja California, Mexico",1
"Evros/MeriÃ§ River, nearÂ KiremitÃ§isalih, Edirne, TÃ¼rkiye",1
"Bodies retrieved in Garaboli, Libya",1
"Body retrieved at Tajoura beach, near Tripoli, Libya",1
"Sahara desert, between Aswan and the border with Sudan, Egypt",1
"Ruhoko-Kirimilre, near Ibanda, Uganda. One child died later in Mbarara Referral Hospital.",1
